# Irregular inflections — the forms no suffix rule can reach.  GENERATED; do
# not hand-edit.
#
# Regenerate:
#   ./crates/verb-synonyms-gen/fetch-sources.sh /tmp/verbsyn
#   cargo run -p verb-synonyms-gen -- irregulars \
#       --wordnet /tmp/verbsyn/WordNet-3.0/dict \
#       -o crates/verb-synonyms/src/irregular_forms.tsv
#
# SOURCE: WordNet 3.0 (Princeton University, 2006) — `verb.exc` and `noun.exc`
# out of WordNet-3.0.tar.gz, sha256 640db279…d3a52.  The notice Princeton's
# licence requires is in THIRD-PARTY-NOTICES.md at the repository root.  The
# DB-only WNdb-3.0.tar.gz carries neither file, which is why fetch-sources.sh
# takes the full tarball.
#
# FORMAT: one `form<TAB>base` per line.  A form appears on SEVERAL lines when
# WordNet gives it more than one base — `axes` is `ax` and `axis`, `singing` is
# `sing` and `singe`, `overflown` is `overflow` and `overfly` — which is why the
# reader hands back a slice and lets the story's own dictionary choose.
#
# SORTED, and unlike synonym_groups.tsv that is safe: nothing here depends on
# line order.  A form's bases are alternative readings of one spelling with no
# ranking between them available or wanted, so the file is sorted to be
# greppable and to diff cleanly across a regeneration.
#
# VERBS AND NOUNS BOTH.  `lit` → `light` is the motivating case, but the
# consumer (`vocab::stems` in `app`) is asked about every position in a command,
# so `mice` → `mouse` is the same case one slot to the right.  A pair that both
# lists give is written once.
#
# 2417 verb rows, 2107 noun rows, 4520 lines, 4424 distinct forms.
aardwolves	aardwolf
phi-phenomena	phi-phenomenon
philodendra	philodendron
phlyctenae	phlyctaena
phlyctenae	phlyctena
photocopied	photocopy
photomapped	photomap
photomapping	photomap
photosetting	photoset
phyla	phylum
phylae	phyle
phyllotaxes	phyllotaxis
phylloxerae	phylloxera
phylogeneses	phylogenesis
physicked	physic
physicking	physic
picnicked	picnic
picnicking	picnic
pieds-a-terre	pied-a-terre
pigfishes	pigfish
pigged	pig
pigging	pig
pilea	pileum
pilei	pileus
pilloried	pillory
pinch-hitting	pinch-hit
pineta	pinetum
pinfishes	pinfish
pinkoes	pinko
pinnae	pinna
pinned	pin
pinning	pin
pinnulae	pinnula
pipefishes	pipefish
pipped	pip
pipping	pip
pirogi	pirog
piscinae	piscina
pistol-whipped	pistol-whip
pistol-whipping	pistol-whip
pistolled	pistol
pistolling	pistol
pitapatted	pitapat
pitapatting	pitapat
pithecanthropi	pithecanthropus
pithoi	pithos
pitied	pity
pitted	pit
pitting	pit
placeboes	placebo
placentae	placenta
planetaria	planetarium
planned	plan
planning	plan
planulae	planula
plasmodesmata	plasmodesma
plasmodia	plasmodium
plateaux	plateau
platted	plat
platting	plat
played a part	play a part
playing a part	play a part
plays a part	play a part
plectra	plectron
plectra	plectrum
pled	plead
plena	plenum
pleura	pleuron
pleurae	pleura
plicae	plica
plied	ply
plodded	plod
plodding	plod
plopped	plop
plopping	plop
plotted	plot
plotting	plot
ploughmen	ploughman
ploughmen	plowman
plugged	plug
plugging	plug
pneumobacilli	pneumobacillus
pneumococci	pneumococcus
pocketknives	pocketknife
podded	pod
podding	pod
podetia	podetium
podia	podium
poleis	polis
pollices	pollex
pollinia	pollinium
polychasia	polychasium
polyhedra	polyhedron
polyparia	polyparium
polypi	polypus
polyzoa	polyzoan
polyzoaria	polyzoarium
pommelled	pommel
pommelling	pommel
pontes	pons
pontifices	pontifex
popped	pop
popping	pop
portamenti	portamento
porticoes	portico
portmanteaux	portmanteau
postliminia	postliminium
potatoes	potato
potted	pot
potting	pot
praenomina	praenomen
praxes	praxis
preachified	preachify
precancelled	precancel
precancelling	precancel
predelle	predella
preferred	prefer
preferring	prefer
premaxillae	premaxilla
prenomina	prenomen
preoccupied	preoccupy
prepaid	prepay
prese	presa
presignified	presignify
pretermitted	pretermit
pretermitting	pretermit
prettied	pretty
prettified	prettify
pried	pry
prigged	prig
prigging	prig
primi	primo
primigravidae	primigravida
primiparae	primipara
primmed	prim
primming	prim
primordia	primordium
principia	principium
proboscides	proboscis
proces-verbaux	proces-verbal
prodded	prod
prodding	prod
proglottides	proglottid
proglottides	proglottis
prognoses	prognosis
programmed	program
programmes	program
programming	program
prolegomena	prolegomenon
prolepses	prolepsis
prologed	prologue
prologing	prologue
prologs	prologue
promycelia	promycelium
pronephra	pronephros
pronephroi	pronephros
pronuclei	pronucleus
propelled	propel
propelling	propel
prophesied	prophesy
propositi	propositus
propped	prop
propping	prop
proptoses	proptosis
propyla	propylon
propylaea	propylaeum
proscenia	proscenium
prosencephala	prosencephalon
prostheses	prosthesis
prostomia	prostomium
protases	protasis
prothalamia	prothalamion
prothalamia	prothalamium
prothalli	prothallus
prothallia	prothallium
prothoraces	prothorax
protonemata	protonema
protozoa	protozoan
proven	prove
proventriculi	proventriculus
provisoes	proviso
prytanea	prytaneum
psalteria	psalterium
pseudopodia	pseudopodium
psychoneuroses	psychoneurosis
psychoses	psychosis
pterygia	pterygium
pterylae	pteryla
ptoses	ptosis
pubbed	pub
pubbing	pub
pubes	pubis
pudenda	pudendum
pugged	pug
pugging	pug
puli	pul
pulvilli	pulvillus
pulvini	pulvinus
pummelled	pummel
pummelling	pummel
punchinelloes	punchinello
punned	pun
punning	pun
pupae	pupa
puparia	puparium
pupped	pup
pupping	pup
purified	purify
put-putted	put-put
put-putting	put-put
putamina	putamen
putrefied	putrefy
putti	putto
puttied	putty
putting	put
pycnidia	pycnidium
pygidia	pygidium
pylori	pylorus
pyxides	pyxis
pyxidia	pyxidium
qaddishim	qaddish
quadrennia	quadrennium
quadrigae	quadriga
qualia	quale
qualified	qualify
quanta	quantum
quantified	quantify
quarrelled	quarrel
quarrelling	quarrel
quarried	quarry
quartersawn	quartersaw
quarterstaves	quarterstaff
queried	query
quezales	quezal
quick-froze	quick-freeze
quick-frozen	quick-freeze
quickstepped	quickstep
quickstepping	quickstep
quinquennia	quinquennium
quipped	quip
quipping	quip
quitted	quit
quitting	quit
quizzed	quiz
quizzes	quiz
quizzing	quiz
rabatos	rabato
rabatos	rebato
rabbitfishes	rabbitfish
rachides	rhachis
radices	radix
radii	radius
radulae	radula
ragged	rag
ragging	rag
rallied	rally
ramenta	ramentum
rami	ramus
ramified	ramify
rammed	ram
ramming	ram
ran	run
rang	ring
ranulae	ranula
ranunculi	ranunculus
raphae	raphe
raphides	raphide
raphides	raphis
rapped	rap
rappelled	rappel
rappelling	rappel
rapping	rap
rarefied	rarefy
ratfishes	ratfish
ratified	ratify
ratted	rat
ratting	rat
ravelled	ravel
ravelling	ravel
razor-cutting	razor-cut
re-trod	re-tread
re-trodden	re-tread
reales	real
rearmice	rearmouse
rebelled	rebel
rebelling	rebel
rebuilt	rebuild
rebutted	rebut
rebutting	rebut
recapped	recap
recapping	recap
reclassified	reclassify
recommitted	recommit
recommitting	recommit
recopied	recopy
recta	rectum
recti	rectus
rectified	rectify
rectrices	rectrix
recurred	recur
recurring	recur
red-pencilled	red-pencil
red-pencilling	red-pencil
redded	red
redded	redd
redding	red
redding	redd
redfishes	redfish
rediae	redia
redid	redo
redone	redo
referenda	referendum
referred	refer
referring	refer
refitted	refit
refitting	refit
reft	reave
refuelled	refuel
refuelling	refuel
refugia	refugium
regretted	regret
regretting	regret
reguli	regulus
reheard	rehear
reified	reify
reis	real
relata	relatum
relied	rely
remade	remake
remarried	remarry
remiges	remex
remitted	remit
remitting	remit
rent	rend
repaid	repay
repelled	repel
repelling	repel
replevied	replevy
replied	reply
repotted	repot
repotting	repot
reran	rerun
reremice	rearmouse
reremice	reremouse
rerunning	rerun
resat	resit
reseaux	reseau
resetting	reset
resewn	resew
residua	residuum
resitting	resit
responsa	responsum
retaken	retake
rethought	rethink
retia	rete
retiarii	retiarius
reticula	reticulum
retinacula	retinaculum
retinae	retina
retold	retell
retook	retake
retransmitted	retransmit
retransmitting	retransmit
retried	retry
retrofitted	retrofit
retrofitting	retrofit
retted	ret
retting	ret
reunified	reunify
revelled	revel
revelling	revel
revetted	revet
revetting	revet
revivified	revivify
revved	rev
revving	rev
rewound	rewind
rewritten	rewrite
rewrote	rewrite
rhabdomyomata	rhabdomyoma
rhachides	rhachis
rhachises	rachis
rhachises	rhachis
rhinencephala	rhinencephalon
rhizobia	rhizobium
rhombi	rhombus
rhonchi	rhonchus
rhyta	rhyton
ribbed	rib
ribbing	rib
ribbonfishes	ribbonfish
ricercacari	ricercare
ricercari	ricercare
rickettsiae	rickettsia
ricochetted	ricochet
ricochetting	ricochet
ridded	rid
ridden	ride
ridding	rid
rigged	rig
rigging	rig
rigidified	rigidify
rilievi	rilievo
rimae	rima
rimmed	rim
rimming	rim
ripped	rip
ripping	rip
risen	rise
rivalled	rival
rivalling	rival
riven	rive
robbed	rob
robbing	rob
robes-de-chambre	robe-de-chambre
rockfishes	rockfish
rode	ride
roma	rom
romans-fleuves	roman-fleuve
rondeaux	rondeau
rosaria	rosarium
rose	rise
rosefishes	rosefish
rostella	rostellum
rostra	rostrum
rotted	rot
rotting	rot
rough-dried	rough-dry
rough-hewn	rough-hew
rouleaux	rouleau
rove	reeve
rowelled	rowel
rowelling	rowel
rubbed	rub
rubbing	rub
rugae	ruga
rumina	rumen
rung	ring
runners-up	runner-up
running	run
rutted	rut
rutting	rut
saccharified	saccharify
sacra	sacrum
sacraria	sacrarium
sagged	sag
sagging	sag
saguaros	saguaro
saguaros	sahuaro
said	say
sailfishes	sailfish
salaried	salary
salespeople	salesperson
salified	salify
sallied	sally
salmonellae	salmonella
salpae	salpa
salpinges	salpinx
saltarelli	saltarello
salvoes	salvo
sancta	sanctum
sanctified	sanctify
sandbagged	sandbag
sandbagging	sandbag
sang	sing
sanitaria	sanitarium
sank	sink
santimi	santims
saphenae	saphena
saponified	saponify
sapped	sap
sapping	sap
sarcophagi	sarcophagus
sartorii	sartorius
sassanidae	sassanid
sat	sit
satisfied	satisfy
savvied	savvy
saw	see
sawfishes	sawfish
sawn	saw
scagged	scag
scagging	scag
scaldfishes	scaldfish
scaleni	scalenus
scanned	scan
scanning	scan
scapulae	scapula
scarabaei	scarabaeus
scarified	scarify
scarred	scar
scarring	scar
scarves	scarf
scatted	scat
scatting	scat
schatchonim	schatchen
schatchonim	shadchan
schemata	schema
scherzandi	scherzando
scherzi	scherzo
schmoes	schmo
scholia	scholium
schuln	schul
schutzstaffeln	schutzstaffel
scirrhi	scirrhus
scleromata	scleroma
scleroses	sclerosis
sclerotia	sclerotium
scoleces	scolex
scolices	scolex
scopulae	scopula
scoriae	scoria
scorified	scorify
scotomata	scotoma
scragged	scrag
scragging	scrag
scrammed	scram
scramming	scram
scrapped	scrap
scrapping	scrap
scried	scry
scriptoria	scriptorium
scrota	scrotum
scrubbed	scrub
scrubbing	scrub
scrummed	scrum
scrumming	scrum
scudded	scud
scudding	scud
scudi	scudo
scummed	scum
scumming	scum
scurried	scurry
scuta	scutum
scutella	scutellum
scyphi	scyphus
scyphistomae	scyphistoma
scyphozoa	scyphozoan
secondi	secondo
secretaries-general	secretary-general
seen	see
segni	segno
seleucidae	seleucid
selves	self
senores	senor
sensilla	sensillum
sent	send
senti	sent
senussis	senusi
senussis	senussi
separatrices	separatrix
sephardim	sephardi
septa	septum
septaria	septarium
septennia	septennium
sequelae	sequela
sequestra	sequestrum
sera	serum
seraphim	seraph
sestertia	sestertium
setae	seta
setting	set
sewn	sew
sgraffiti	sgraffito
shabbasim	shabbas
shabbatim	shabbat
shackoes	shacko
shadchanim	shadchan
shadchans	schatchen
shadchans	shadchan
shagged	shag
shagging	shag
shaken	shake
shaken hands	shake hands
shakes hands	shake hands
shaking hands	shake hands
shakoes	shako
shammed	sham
shamming	sham
shammosim	shammas
shammosim	shammes
sharecropped	sharecrop
sharecropping	sharecrop
shat	shit
shaven	shave
sheatfishes	sheatfish
sheaves	sheaf
shedding	shed
shellacked	shellac
shellacking	shellac
shellfishes	shellfish
shelves	shelf
shent	shend
shewn	shew
shied	shy
shikarred	shikar
shikarring	shikar
shillyshallied	shillyshally
shimmed	shim
shimmied	shimmy
shimming	shim
shinleaves	shinleaf
shinned	shin
shinning	shin
shipped	ship
shipping	ship
shitted	shit
shittim	shittah
shitting	shit
shmoes	shmo
shod	shoe
shofroth	shofar
shofroth	shophar
shone	shine
shook	shake
shook hands	shake hands
shophroth	shophar
shopped	shop
shopping	shop
shot	shoot
shotgunned	shotgun
shotgunning	shotgun
shotted	shot
shotting	shot
shovelled	shovel
shovelling	shovel
shown	show
shrank	shrink
shredded	shred
shredding	shred
shrewmice	shrewmouse
shrink-wrapped	shrink-wrap
shrink-wrapping	shrink-wrap
shrivelled	shrivel
shrivelling	shrivel
shriven	shrive
shrove	shrive
shrugged	shrug
shrugging	shrug
shrunk	shrink
shrunken	shrink
shuln	shul
shunned	shun
shunning	shun
shutting	shut
sicked	sic
sicking	sic
siddurim	siddur
sideslipped	sideslip
sideslipping	sideslip
sidestepped	sidestep
sidestepping	sidestep
sightsaw	sightsee
sightseen	sightsee
sigloi	siglos
signalled	signal
signalling	signal
signified	signify
signore	signora
signori	signior
signori	signore
signorine	signorina
silicified	silicify
siliquae	siliqua
silvae	silva
silverfishes	silverfish
simplified	simplify
simulacra	simulacrum
sincipita	sinciput
sinfonie	sinfonia
singing	sing
singing	singe
single-stepped	single-step
single-stepping	single-step
sinned	sin
sinning	sin
sipped	sip
sipping	sip
sisters-in-law	sister-in-law
sistra	sistrum
sitting	sit
situlae	situla
skellied	skelly
skenned	sken
skenning	sken
sketted	sket
sketting	sket
ski'd	ski
skidded	skid
skidding	skid
skimmed	skim
skimming	skim
skin-popped	skin-pop
skin-popping	skin-pop
skinned	skin
skinning	skin
skinny-dipped	skinny-dip
skinny-dipping	skinny-dip
skipped	skip
skipping	skip
skivvied	skivvy
skydove	skydive
slabbed	slab
slabbing	slab
slagged	slag
slagging	slag
slain	slay
slammed	slam
slamming	slam
slapped	slap
slapping	slap
slatted	slat
slatting	slat
sledding	sled
slept	sleep
slew	slay
slid	slide
slidden	slide
slipped	slip
slipping	slip
slitting	slit
slogged	slog
slogging	slog
slopped	slop
slopping	slop
slotted	slot
slotting	slot
slugged	slug
slugging	slug
slummed	slum
slumming	slum
slung	sling
slunk	slink
slurred	slur
slurring	slur
smalti	smalto
smelt	smell
smit	smite
smitten	smite
smote	smite
smutted	smut
smutting	smut
snagged	snag
snagging	snag
snaggleteeth	snaggletooth
snailfishes	snailfish
snapped	snap
snapping	snap
snedded	sned
snedding	sned
snipefishes	snipefish
snipped	snip
snipping	snip
snivelled	snivel
snivelling	snivel
snogged	snog
snogging	snog
snubbed	snub
snubbing	snub
snuck	sneak
snugged	snug
snugging	snug
sobbed	sob
sobbing	sob
socmen	socman
socmen	sokeman
sodded	sod
sodding	sod
soft-pedalled	soft-pedal
soft-pedalling	soft-pedal
sola	solum
solaria	solarium
solatia	solatium
sold	sell
soldi	soldo
solemnified	solemnify
soles	sol
soles	sole
solfeggi	solfeggio
soli	solo
solidi	solidus
solidified	solidify
somata	soma
sons-in-law	son-in-law
soothsaid	soothsay
sopped	sop
sopping	sop
soprani	soprano
sordini	sordino
sori	sorus
soroses	sorosis
sought	seek
sovkhozy	sovkhoz
sown	sow
spadefishes	spadefish
spadices	spadix
spagged	spag
spagging	spag
spancelled	spancel
spancelling	spancel
spanned	span
spanning	span
sparred	spar
sparring	spar
spat	spit
spatted	spat
spatting	spat
spearfishes	spearfish
specified	specify
spectra	spectrum
specula	speculum
sped	speed
speechified	speechify
spellbound	spellbind
spelt	spell
spent	spend
spermatia	spermatium
spermatogonia	spermatogonium
spermatozoa	spermatozoon
spermogonia	spermogonium
sphinges	sphinx
spicae	spica
spicula	spiculum
spied	spy
spilt	spill
spin-dried	spin-dry
spinning	spin
spiralled	spiral
spiralling	spiral
spirilla	spirillum
spitted	spit
spitting	spit
splayfeet	splayfoot
splenii	splenius
splitting	split
spoilt	spoil
spoke	speak
spoken	speak
spoon-fed	spoon-feed
sporangia	sporangium
sporogonia	sporogonium
sporozoa	sporozoan
spotlit	spotlight
spotted	spot
spotting	spot
sprang	spring
sprigged	sprig
sprigging	sprig
springhase	springhaas
sprung	spring
spudded	spud
spudding	spud
spumoni	spumone
spun	spin
spurred	spur
spurring	spur
sputa	sputum
squamae	squama
squashes	squash
squatted	squat
squatting	squat
squibbed	squib
squibbing	squib
squidded	squid
squidding	squid
squilgee	squeegee
squillae	squilla
squirrelfishes	squirrelfish
squizzes	squiz
stabbed	stab
stabbing	stab
stadia	stadium
stall-fed	stall-feed
stamina	stamen
staminodia	staminodium
stank	stink
stapedes	stapes
staphylococci	staphylococcus
staretsy	starets
starfishes	starfish
starred	star
starring	star
startsy	starets
steadied	steady
stelae	stele
stellified	stellify
stemmata	stemma
stemmed	stem
stemming	stem
stems from	stem from
stencilled	stencil
stencilling	stencil
stenoses	stenosis
stepchildren	stepchild
stepped	step
stepping	step
sterna	sternum
stetted	stet
stetting	stet
stied	sty
stigmata	stigma
stilettoeing	stiletto
stimuli	stimulus
stipites	stipes
stirpes	stirps
stirred	stir
stirring	stir
stoae	stoa
stockfishes	stockfish
stole	steal
stolen	steal
stomata	stoma
stomodaea	stomodaeum
stomodea	stomodeum
stonefishes	stonefish
stood	stand
stopped	stop
stopping	stop
storied	story
stotinki	stotinka
stotkini	stotinka
stotted	stot
stotting	stot
stove	stave
strappadoes	strappado
strapped	strap
strapping	strap
strata	stratum
strati	stratus
stratified	stratify
stratocumuli	stratocumulus
street children	street child
streptococci	streptococcus
stretti	stretto
strewn	strew
striae	stria
stridden	stride
stripped	strip
stripping	strip
striven	strive
strobili	strobilus
strode	stride
stromata	stroma
stropped	strop
stropping	strop
strove	strive
strown	strow
struck	strike
strumae	struma
strummed	strum
strumming	strum
strung	string
strutted	strut
strutting	strut
stubbed	stub
stubbing	stub
stuccoes	stucco
stuck	stick
studded	stud
studding	stud
studied	study
stultified	stultify
stummed	stum
stumming	stum
stung	sting
stunk	stink
stunned	stun
stunning	stun
stupefied	stupefy
styli	stylus
stylopes	stylops
stylopodia	stylopodium
stymying	stymie
subbed	sub
subbing	sub
subcortices	subcortex
subdeliria	subdelirium
subgenera	subgenus
subindices	subindex
subjectified	subjectify
subletting	sublet
submitted	submit
submitting	submit
submucosae	submucosa
subphyla	subphylum
substrasta	substratum
subtotalled	subtotal
subtotalling	subtotal
succedanea	succedaneum
succubi	succubus
suckerfishes	suckerfish
suckfishes	suckfish
sudaria	sudarium
sudatoria	sudatorium
sulci	sulcus
sullied	sully
sulphuretted	sulphuret
sulphuretting	sulphuret
summae	summa
summed	sum
summing	sum
sunfishes	sunfish
sung	sing
sunk	sink
sunken	sink
sunned	sun
sunning	sun
supercargoes	supercargo
superheroes	superhero
supernovae	supernova
superstrata	superstratum
supped	sup
supping	sup
supplied	supply
surgeonfishes	surgeonfish
swabbed	swab
swabbing	swab
swagged	swag
swagging	swag
swam	swim
swamies	swami
swapped	swap
swapping	swap
swatted	swat
swatting	swat
sweetiewives	sweetiewife
swellfishes	swellfish
swept	sweep
swigged	swig
swigging	swig
swimming	swim
swivelled	swivel
swivelling	swivel
swollen	swell
swopped	swap
swopping	swap
swops	swap
swordfishes	swordfish
swore	swear
sworn	swear
swotted	swot
swotting	swot
swum	swim
swung	swing
syconia	syconium
syllabi	syllabus
syllabified	syllabify
syllepses	syllepsis
symbolled	symbol
symbolling	symbol
symphyses	symphysis
sympodia	sympodium
symposia	symposium
synapses	synapsis
synarthroses	synarthrosis
synclinoria	synclinorium
syncytia	syncytium
syndesmoses	syndesmosis
synopses	synopsis
syntagmata	syntagma
syntheses	synthesis
syphilomata	syphiloma
syringes	syrinx
syssarcoses	syssarcosis
tabbed	tab
tabbing	tab
tableaux	tableau
taeniae	taenia
taeniae	tenia
tagged	tag
tagging	tag
taken	take
taken a side	take a side
taken pains	take pains
taken steps	take steps
takes a side	take a side
takes pains	take pains
takes steps	take steps
taking a side	take a side
taking pains	take pains
taking steps	take steps
talcked	talc
talcking	talc
tali	talus
tallaisim	tallith
tallied	tally
tallithes	tallith
tallitoth	tallith
tally-ho'd	tally-ho
tammied	tammy
tanned	tan
tanning	tan
tapeta	tapetum
tapped	tap
tapping	tap
tarantulae	tarantula
tarred	tar
tarried	tarry
tarring	tar
tarsi	tarsus
tarsometatarsi	tarsometatarsus
tasselled	tassel
tasselling	tassel
tatted	tat
tatting	tat
taught	teach
taxa	taxon
taxes	tax
taxes	taxis
taxies	taxi
taxying	taxi
teaselled	teasel
teaselling	teasel
tectrices	tectrix
tedded	ted
tedding	ted
teeth	tooth
tegmina	tegmen
telae	tela
telamones	telamon
telangiectases	telangiectasia
telangiectases	telangiectasis
telia	telium
tempi	tempo
tenacula	tenaculum
tenderfeet	tenderfoot
teniae	tenia
tenues	tenuis
tepefied	tepefy
teraphim	teraph
terata	teras
teredines	teredo
terga	tergum
termini	terminus
terraria	terrarium
terrified	terrify
terzetti	terzetto
tesserae	tessera
testae	testa
testes	testis
testified	testify
testudines	testudo
tetrahedra	tetrahedron
tetraskelia	tetraskelion
thalamencephala	thalamencephalon
thalami	thalamus
thalli	thallus
theatres-in-the-round	theatre-in-the-round
thecae	theca
therses	thyrse
thesauri	thesaurus
theses	thesis
thickleaves	thickleaf
thieves	thief
thinking the world of	think the world of
thinks the world of	think the world of
thinned	thin
thinning	thin
tholoi	tholos
thoraces	thorax
thought	think
thought the world of	think the world of
threw	throw
threw out	throw out
thriven	thrive
throbbed	throb
throbbing	throb
thrombi	thrombus
throve	thrive
throwing out	throw out
thrown	throw
thrown out	throw out
throws out	throw out
thrummed	thrum
thrumming	thrum
thudded	thud
thudding	thud
thymi	thymus
thyrsi	thyrsus
tibiae	tibia
tidied	tidy
tilefishes	tilefish
tinned	tin
tinning	tin
tinselled	tinsel
tinselling	tinsel
tintinnabula	tintinnabulum
tipped	tip
tipping	tip
titmice	titmouse
tittupped	tittup
tittupping	tittup
toadfishes	toadfish
toadied	toady
tobaccoes	tobacco
togged	tog
togging	tog
told	tell
tomatoes	tomato
tomenta	tomentum
tondi	tondo
tonneaux	tonneau
took	take
took a side	take a side
took pains	take pains
took steps	take steps
tophi	tophus
topoi	topos
topped	top
topping	top
tore	tear
tori	torus
torn	tear
tornadoes	tornado
torpedoes	torpedo
torrefied	torrefy
torrify	torrefy
torsi	torso
totalled	total
totalling	total
totted	tot
totting	tot
touracos	touraco
touracos	turaco
towelled	towel
towelling	towel
trabeculae	trabecula
tracheae	trachea
traditores	traditor
trafficked	traffic
trafficking	traffic
tragi	tragus
trameled	trammel
trameling	trammel
tramelled	trammel
tramelling	trammel
tramels	trammel
trammed	tram
tramming	tram
transferred	transfer
transferring	transfer
transfixt	transfix
tranship	transship
transhipped	tranship
transhipping	tranship
transmitted	transmit
transmitting	transmit
transmogrified	transmogrify
transshipped	transship
transshipping	transship
trapanned	trapan
trapanning	trapan
trapezia	trapezium
trapezohedra	trapezohedron
trapped	trap
trapping	trap
traumata	trauma
travelled	travel
travelling	travel
travestied	travesty
trekked	trek
trekking	trek
trepanned	trepan
trepanning	trepan
treponemata	treponema
trichinae	trichina
triclinia	triclinium
tried	try
triennia	triennium
triforia	triforium
trigged	trig
triggerfishes	triggerfish
trigging	trig
trihedra	trihedron
trimmed	trim
trimming	trim
tripped	trip
tripping	trip
triskelia	triskelion
trisoctahedra	trisoctahedron
triumviri	triumvir
trivia	trivium
trochleae	trochlea
trod	tread
trodden	tread
trogged	trog
trogging	trog
tropaeola	tropaeolum
trotted	trot
trotting	trot
trous-de-loup	trou-de-loup
trousseaux	trousseau
trowelled	trowel
trowelling	trowel
trunkfishes	trunkfish
trymata	tryma
tubae	tuba
tugged	tug
tugging	tug
tumefied	tumefy
tunned	tun
tunnelled	tunnel
tunnelling	tunnel
tunning	tun
tupped	tup
tupping	tup
turves	turf
tut-tutted	tut-tut
tut-tutting	tut-tut
twigged	twig
twigging	twig
twinned	twin
twinning	twin
twitted	twit
twitting	twit
tying	tie
tympana	tympanum
typesetting	typeset
typewritten	typewrite
typewrote	typewrite
typified	typify
tyros	tiro
tyros	tyro
ubermenschen	ubermensch
uglies	ugli
uglified	uglify
uigurs	uighur
ulnae	ulna
ultimata	ultimatum
umbilici	umbilicus
umbones	umbo
umbrae	umbra
unbarred	unbar
unbarring	unbar
unbent	unbend
unbound	unbind
uncapped	uncap
uncapping	uncap
unci	uncus
uncidia	uredium
unclad	unclothe
unclogged	unclog
unclogging	unclog
underbidding	underbid
underbought	underbuy
undercutting	undercut
underfed	underfeed
undergirt	undergird
undergone	undergo
underlaid	underlay
underlain	underlie
underlay	underlie
underletting	underlet
underlying	underlie
underpaid	underpay
underpinned	underpin
underpinning	underpin
underpropped	underprop
underpropping	underprop
undersetting	underset
undershot	undershoot
undersold	undersell
understood	understand
understudied	understudy
undertaken	undertake
undertook	undertake
underwent	undergo
underwritten	underwrite
underwrote	underwrite
undid	undo
undone	undo
unfitted	unfit
unfitting	unfit
unfroze	unfreeze
unfrozen	unfreeze
unified	unify
unkennelled	unkennel
unkennelling	unkennel
unknitted	unknit
unknitting	unknit
unlaid	unlay
unlearnt	unlearn
unmade	unmake
unmanned	unman
unmanning	unman
unpegged	unpeg
unpegging	unpeg
unpinned	unpin
unpinning	unpin
unplugged	unplug
unplugging	unplug
unravelled	unravel
unravelling	unravel
unrigged	unrig
unrigging	unrig
unripped	unrip
unripping	unrip
unrove	unreeve
unsaid	unsay
unshipped	unship
unshipping	unship
unslung	unsling
unsnapped	unsnap
unsnapping	unsnap
unspoke	unspeak
unspoken	unspeak
unsteadied	unsteady
unstepped	unstep
unstepping	unstep
unstopped	unstop
unstopping	unstop
unstrung	unstring
unstuck	unstick
unswore	unswear
unsworn	unswear
untaught	unteach
unthought	unthink
untidied	untidy
untrod	untread
untrodden	untread
untying	untie
unwound	unwind
unwrapped	unwrap
unwrapping	unwrap
unzipped	unzip
unzipping	unzip
upbuilt	upbuild
upheld	uphold
uphove	upheave
upped	up
uppercutting	uppercut
upping	up
uprisen	uprise
uprose	uprise
upsetting	upset
upsprang	upspring
upsprung	upspring
upswept	upsweep
upswollen	upswell
upswung	upswing
uredines	uredo
uredinia	uredinium
uredosori	uredosorus
urethrae	urethra
urinalyses	urinalysis
uteri	uterus
utriculi	utriculus
uvulae	uvula
vacua	vacuum
vagged	vag
vagging	vag
vagi	vagus
vaginae	vagina
valleculae	vallecula
vaporetti	vaporetto
varices	varix
varied	vary
vasa	vas
vascula	vasculum
vatted	vat
vatting	vat
vela	velum
velamina	velamen
velaria	velarium
venae	vena
venae cavae	vena cava
ventriculi	ventriculus
verbified	verbify
verified	verify
vermes	vermis
verrucae	verruca
versified	versify
vertebrae	vertebra
vertices	vertex
vertigines	vertigo
vertigoes	vertigo
vesicae	vesica
vetoes	veto
vetted	vet
vetting	vet
vexilla	vexillum
viatica	viaticum
viatores	viator
vibracula	vibraculum
vibrissae	vibrissa
victualled	victual
victualling	victual
vilified	vilify
villi	villus
vimina	vimen
vincula	vinculum
viragoes	virago
vires	vis
virtuosi	virtuoso
vitae	vita
vitelli	vitellus
vitrified	vitrify
vitriolled	vitriol
vitriolling	vitriol
vittae	vitta
vivaria	vivarium
vivified	vivify
voces	vox
volcanoes	volcano
volkslieder	volkslied
volte	volta
volvae	volva
vorticellae	vorticella
vortices	vortex
vulvae	vulva
vying	vie
wadded	wad
waddied	waddy
wadding	wad
wadsetted	wadset
wadsetting	wadset
wagged	wag
wagging	wag
wagons-lits	wagon-lit
wahhabis	wahabi
wahhabis	wahhabi
wanderjahre	wanderjahr
wanned	wan
wanning	wan
warred	war
warring	war
was	be
water-ski'd	water-ski
waylaid	waylay
weakfishes	weakfish
wearied	weary
weatherstripped	weatherstrip
weatherstripping	weatherstrip
webbed	web
webbing	web
wedded	wed
wedding	wed
went	go
went deep	go deep
wept	weep
were	be
werewolves	werewolf
wetted	wet
wetting	wet
whammed	wham
whamming	wham
