# Synonym groups for interactive-fiction verbs.  GENERATED; do not hand-edit.
#
# Regenerate with `verb-synonyms-gen` — see crates/verb-synonyms-gen/README.md.
# Derived from WordNet 3.0 (Princeton University) and the 12dicts 6.0.2
# lemmatized frequency list (Alan Beale, under the AGID terms).  The notices
# both licences require are in THIRD-PARTY-NOTICES.md at the repository root.
#
# FORMAT: one group per line, members separated by TABS.  There is no key
# column — every member is equal, and a word may appear in SEVERAL groups, one
# per sense.  A tab is the separator because a member may itself contain a
# space (`turn on`), and no dictionary word contains a tab.
#
# A group is one WordNet synset, filtered to words a player might type, plus —
# where a synset no story could match has a hypernym that one can — that synset
# unioned with its immediate hypernym.  Exactly one hop, never chained.
#
# AT LOOKUP, two rules define what this data means:
#   1. Lemmatise the player's word FIRST.  Members are base forms, because an IF
#      parser accepts the imperative; `illuminated` never arrives here, and if
#      the consumer skips this step a miss looks like a hole in the data instead
#      of a missing step in the caller.
#   2. Intersect the group with THIS story's dictionary and show only what
#      survives, then drop the word the player actually typed — it is in the
#      group by construction and it is the one word known to have failed.
#
# LINE ORDER IS SIGNIFICANT — DO NOT SORT THIS FILE.  The groups containing any
# given word appear in that word's own WordNet sense order, commonest sense
# first, so a consumer can walk them most-likely-meaning first and stop after
# three or four dictionary matches.  Sorting the file alphabetically destroys
# that signal silently.  Member order within a line is significant too: verbs
# the corpus actually uses come first, commonest first.
#
# Built with: sense-cap 6 band-cap 16 group-cap 12 hyponym-cap 25 gap-fill true
# From 9893 harvested IF spellings, 2078 of which WordNet knows as verbs.
# 2758 groups, 9735 memberships.
accuse	impeach	incriminate
admire	look up to
watch	follow	observe	watch over	guard
protect	guard	ward
protect	charm
open	unfold	spread	grass	spread out
operate	maneuver
operate	control	gate
order	dictate	prescribe
order	district	govern	regulate	zone
place	order	range	grade	rank	rate	sequence
place	locate	site
order	commission
organize	organise	coordinate	structure
organize	organise	form
organize	organise	direct	engineer	mastermind	orchestrate
organize	organise	unionize
spring	form	take form	take shape
out	come out	come out of the closet
pack	wad	bundle	compact
press	squeeze	compact	compress	constrict	contract
tighten	constrict	narrow
tighten	constrain	stiffen	tighten up
tighten	reduce
paint	ground	prime
tie	connect	link	ground	link up
pass	go by	go past	pass by	surpass	travel by
pass	legislate
pass	slide by	elapse	glide by	go along	go by	lapse	slip away	slip by
patch	piece
pay	pay up
pay	make up	compensate	pay off
pay	bear	yield
wear	bear
wear	wear down	wear off	wear out	wear thin
wear	hold out	endure
wear	put on	don	get into	assume	hat
put on	turn in
put on	mount
put on	apply	cream
skim	cream	cream off	skim off
pay	prefer
peck	nag
peck	peck at	pick at
pedal	bicycle	bike	cycle	wheel
repeat	cycle	recur
resort	fall back	recur
repair	resort
repair	amend	rectify	remedy
turn	change by reversal	correct	rectify	reverse	right
sort out	correct	discipline
turn	move around
turn	grow
turn	release
put out	release	bring out	issue	publish
put under	put out	freeze
release	eject	discharge	exhaust	expel
release	secrete
set off	bring out
set off	blow up	explode	detonate
set off	cancel	offset
turn	turn over
turn back	invert	reverse
peek	glance	glint
peel	peel off	flake	flake off
peel	skin	pare
trim	pare
pet	gentle
pick	clean
pick	pluck	plunk
pick	peck	beak
pick	blame	find fault
pick	nibble	piece
pick	pluck	cull
pick up	turn around
pick up	catch
pick up	peck
smack	peck
pick up	hear	see	learn	discover	find out	get a line	get wind	get word	seen
pick up	arrest	apprehend	collar	cop	nab	nail
pick up	lift up	elate	intoxicate	uplift
see	interpret	construe	seen
smash	blast	boom	nail
soak	intoxicate
win	come through	bring home the bacon	nail	nail down	peg	succeed
sail through	ace	breeze through	nail	sweep through
turn up	locate	nail	pinpoint
turn up	ensue	prove	result	turn out
pile up	accumulate	amass	conglomerate	gather
pile up	stack up	heap up
run up	gather	pucker	sew	sew together	stitch	tuck
run up	chalk up
tally	chalk up
pinch	crimp
pitch	tilt	slant
pitch	incline	slope
pitch	peddle	hawk	vend
place	come out	come in
step up	come out	come forward	come to the fore	step forward	step to the fore
start	pop	come out	pop out	bug out	bulge	bulge out	protrude
pop	crop up	pop up
place	send	post	station
put down	enter	record	post
put down	enter	record	document
put down	enter	record	log
place	point	aim	direct	target
plant	implant	embed	pot
plant	constitute	establish	found	institute
show	demonstrate	establish	prove
show	attest	bear witness	certify	demonstrate	evidence	manifest	prove	testify
show	bear witness	cite	evidence	prove	testify
play	take on	meet	encounter
play	bet	wager
play	fiddle	toy
play	toy	flirt
play	bring	work	make for	wreak
point	signal	indicate	bode	forecast	foreshadow	foretell	omen	predict
point	charge	level
point	steer	head	channel	direct	guide	maneuver
take	lead	conduct	direct	guide
send	direct	route
take	get hold of
reach	get through	contact	get hold of
reach	achieve	accomplish	attain	average
reach	achieve	accomplish	attain	manage
strike	discover	attain	chance on	chance upon	come across	come upon	fall upon	happen upon	light upon
strike	scratch	excise
scratch	scrape	come up	scrape up
scrape	skin
scratch	inscribe	grave	character	engrave
skin	bark
wield	handle	manage
point	orient
poke	thump	pound
pound	ram	ram down
pound	lumber
thump	pound	beat
pound	pound off
pound	pound up
thump	thud
scrunch	thud
squat	crouch	scrunch	hunker	hunker down	scrunch up
poke	pry	horn in	intrude	nose
polish	brush up	polish up	round	round off
polish	down	fine-tune	refine
polish off	finish	eat up
ponder	meditate	reflect	chew over	contemplate	mull	mull over	muse	speculate	think over
reflect	reverberate
shine	reflect
shine	gleam	glint	glisten	glitter
shine	beam	glow	radiate
shine	polish	smooth
smooth	smooth out
present	lay out	represent
present	stage	represent
stage	arrange	phase
present	salute
present	deliver
present	face	confront
present	award
present	submit
present	pose
press	iron	iron out
press	press out
press out	extract	express
prise	prize	esteem	fear	respect	revere	reverence	value	venerate
prize	treasure	appreciate	recognize	value
pry	lever	prise	jimmy	prize
treasure	care for	cherish	hold dear
pull	gather
pull	commit	perpetrate
search	look for	seek	gather
pull	take out	pull up	pull out	extract	draw out
pull out	back down	back off	bow out	chicken out
pull	tear	pluck
pull	draw	pull in	attract	draw in
pull	rip	rend
pull	get out	take out	pull out	draw
push	bear on
push	advertise	bill	promote
push	tug	drive	labor
push	crowd
tug	lug	tote
push	force	nose
thrust	force
thrust	pierce
push up	thrust
throw	thrust
push	fight	press	agitate	campaign	crusade
put	assign
put	place	commit	fund	invest
put	place	commit	invest	shelter
roll up	collect	compile	pile up	accumulate	amass	fund	hoard
roll up	bundle	bundle up
roll up	wrap up
support	fund
support	bring home the bacon	provide
support	patronize	sponsor
shop	buy at	frequent	patronize	shop at	sponsor
put	place	commit	invest	job	speculate
put down	enter	record	film
put down	enter	record	register
record	tape
put in	throw in	come in	inject	interject
put in	submit
resign	reconcile	submit
put in	instal	set up	install
put on	take in	fool	dupe	gull	kid	pull the leg of	put one across	put one over	slang
put up	can	tin
quench	allay	assuage
relieve	alleviate	assuage
quiet	calm	appease	assuage	calm down	gentle	lull	pacify	placate	still
quiet	calm	assure	calm down	lull	reassure	still
shut up	silence	hush	hush up	still
quiet	hush	pipe down	quiet down
relieve	allay	ease	still
save	relieve	salvage
relieve	excuse	exempt	frank	let off
save	preserve	conserve	husband
save	bring through	carry through	pull through
save	lay aside	save up
save	make unnecessary
quit	throw in	give up	drop out	chuck up the sponge	drop by the wayside	fall by the wayside	throw in the towel
quit	stop	give up	cease	cheese	discontinue	lay off
quit	step down	resign	leave office
quit	depart	take leave
quit	relinquish	renounce
step down	weaken
stop	block	halt
stop	stop over
raise	recruit	levy
raise	arouse	invoke	stir	bring up	call down	call forth	conjure	conjure up	evoke	put forward
raise	put up	erect	set up	rear
raise	fire	kindle	arouse	anger	elicit	evoke	provoke
raise	fire	kindle	arouse	elicit	evoke	provoke	shame
raise	fire	kindle	arouse	elicit	evoke	interest	provoke
raise	elevate	advance	entitle	gentle	kick upstairs	promote	upgrade
raise	elevate	advance	favor	kick upstairs	prefer	promote	upgrade
stand	stick out	put up	bear	support	abide	brook	digest	endure	stomach	suffer	tolerate
stand	stand up	place upright
stand	resist	fend
stand up	stick up
stand up	hold up	hold water
raise	grow	farm	produce
raise	bring up	nurture	parent	rear
raise up	disturb	agitate	shake up	stir up	vex
range	straddle
read	translate	interpret	understand
read	take	study	learn
study	meditate	contemplate
read	scan
read	show	record	register
record	commemorate	immortalize	memorialize
recall	echo
withdraw	recall	call in	call back
recite	enumerate	itemize
refuse	decline	regret
turn down	refuse	pass up	decline	reject
refuse	resist	defy
refuse	deny
traverse	deny
refuse	resist	reject
resist	balk
turn down	refuse	turn away	reject
turn away	avert
turn down	disdain	freeze off	reject	scorn	spurn
relax	unwind	loosen up	slow down
remember	retain	think of
remember	characterize	qualify	think of
remember	think back
remember	commend
toy with	think about	entertain	flirt with	think of
remove	absent
remove	transfer
remove	get rid of
remove	take out	move out
take out	unpack
remove	bench
repair	revive	animate	quicken	recreate	renovate
revive	resurrect
repeat	cite	quote	reiterate	restate	retell
repeat	reprise
resume	sum up	summarize
say	tell	state	sum	sum up	summarize
say	allege
say	suppose
say	read
state	posit	put forward	submit
tally	add	total	add together	add up	sum	sum up	tot	tot up	tote up
tell	announce	foretell	harbinger	herald
think	guess	imagine	opine	reckon	suppose	suspect
think	conclude	reason	reason out
think	evaluate	judge	pass judgment
think	remember	call up	recall	recollect	retrieve	call back	recognize
return	recall	come back	hark back
return	bring back	take back
swallow	withdraw	take back
withdraw	seclude	sequester
withdraw	retire	adjourn
withdraw	retreat	back away	pull back	back out
return	retort	come back	rejoin	repay
return	give back	refund	repay
revive	come to	resuscitate
revolve	orb	orbit
ride	taunt	tease	bait	banter	jolly	kid	rag	rally	tantalize
turn on	ride	depend on	depend upon	devolve on	hinge on	hinge upon
turn on	rouse	charge	excite	agitate	charge up
ride	tube
ride	cycle	motorbike	motorcycle
ride	boat
ride	bus
ride	tool	tool around
roll	roll out
roll out	straighten
roll	wrap	wind	twine
roll	pluck	hustle
wave	roll	flap	undulate
wave	curl
wind	nose	scent
wrap	enclose	envelop	tube
roll	revolve
roll	cast	tramp	drift	range	swan	wander	ramble	roam	rove	stray
roll	bowl	wheel
rotate	splay	spread out	turn out
rotate	revolve	go around	wheel	wheel around
run	unravel
run	melt	melt down
run	race
run	hunt	course	hunt down	track down
trace	hunt	hound
trace	decipher
run	operate	work	double	function	go
run	range
run	lean	be given	incline	suffer	tend
run	bleed
serve	function	officiate
serve	represent
stop	end	finish	cease	go	run low	run short	terminate
stop	end	finish	cease	disappear	go away	terminate	vanish
stop	block	block up	bar	barricade	block off	blockade
seal off	blockade
shut off	close off	block off
work	work on	process	tool
work	work on	process	till
work	exercise	work out
run into	see	run across	meet	come across	encounter	seen
save	spare	favor
say	tell	order	direct	enjoin
tell	assure
say	pronounce	articulate	enunciate	round	sound out
say	pronounce	accent	accentuate	articulate	enunciate	sound out	stress
scold	bawl out	berate	call down	call on the carpet	chew out	chew up	chide	dress down	jaw	lecture	rag	rebuke	reprimand	take to task
scold	grumble
scoop	best	outdo	trump
score	mark
score	make	seduce
see	consider	view	expect	reckon	regard
see	consider	view	receive	reckon	regard
see	consider	view	include	reckon	regard
see	consider	view	like	reckon	regard
see	consider	view	identify	reckon	regard
see	consider	view	favor	reckon	regard
study	consider	factor	factor in	factor out
see	consider	view	reckon	regard	seen
see	image	envision	fancy	figure	picture	project	seen	visualize
take to	fancy	go for
see	date	go out	go steady	seen
see	visit	seen
travel to	visit
seek	try	attempt	adventure	assay	chance	essay	gamble	hazard	risk	run a risk	take a chance
seek	try	attempt	assay	essay	lay on the line	put on the line	risk
stake	adventure	hazard	jeopardize	venture
seize	take over	assume	usurp
send	mail	express	post
send	mail	post	register
send	ship	transport
transfer	transmit	channel	project	transport
show	project
show	depict	illustrate	picture	render
show	connote	evince	express	imply
show	evince	evoke	express	paint a picture	suggest
show	articulate	evince	express	formulate	give voice	phrase	word
show	accent	accentuate	emphasize	evince	express	punctuate	stress
show	point	indicate	designate
translate	interpret	render
translate	transform
utter	express	give tongue to	voice
utter	express	give tongue to	represent
utter	let out	emit	let loose
unleash	let loose	loose
send	send out
send	direct	refer
take	aim	train	direct	sight	take aim
take	carry	pack
take	rent	engage	lease	charter	hire
set	adjust	correct
set	fix	ready	set up	gear up	prepare	provide
set	fix	ready	set up	gear up	prepare	prime
set	plant	bed
set	lay out	set up
set up	arrange
set	determine	value
set	assess	determine	tax
set	determine	price
set	fix	define	determine	limit	specify
set	mark
shake	excite	stimulate	stir	animate	enliven	exalt	inspire	invigorate	shake up
shake	throw off	escape from	shake off
touch	stir
shake	rock	sway
swing	sway
swing	swing over
swing	sweep	swing out
shake	agitate
shape	decide	determine	influence	mold	regulate
shape	determine	index	influence	mold	regulate
shift	pitch	lurch
switch	shift	change	transition
switch	shift	change over
shift	dislodge
shift	transfer
shift	agitate	stir	budge
shift	wobble	tilt	careen
throw	flip	switch
throw	cast	contrive	project
throw	hurl
transfer	assign
transfer	distribute
wobble	shimmy
shoot	sprout	burgeon forth	germinate
sprout	stock
shoot	fool	dissipate	fool away	fritter	fritter away
shoot	tear	charge	buck	shoot down
shoot	flash	dart	dash	scoot
smash	dash
shout	abuse
sidle up	shine up	cotton up	cozy up	play up	suck up
sink	fall off	slump
slide down	sink	slump
sit	sit down	seat
sit	ride
sit	model	pose	posture
slow	retard	slow down	slow up
slow	slack	slacken	slow down	slow up
sort	sort out	assort	class	classify	refer	separate
sort	sort out	assort	class	classify	separate	size
sort	sort out	assort	class	classify	group	separate
sort	sort out	assort	class	classify	grade	separate
sound	vocalise	vocalize	voice
sound	prepare
vocalise	vocalize	articulate	enunciate
speak	address
spin	whirl	spin around	gyrate	reel
spin	whirl	twirl
whirl	swirl	eddy	whirlpool
whirl	tumble	whirl around
spit	skewer
splash	spatter	splatter
splash	slosh	slush
sprinkle	spit	patter	spatter
squish	splash	slop	slosh	squelch
squeeze	squash	crush	mash	squelch
squeeze	wedge	force	impact
squeeze	force	coerce	pressure
swill	slop
splice	piece
spread	broadcast	diffuse	circulate	disperse	disseminate	distribute	pass around	propagate
spread	circulate	go around
spread	diffuse	fan out	spread out
squeeze	pinch	nip	tweet	twinge	twitch
squeeze	stuff	thrust	shove
stuff	block	choke up	lug
stuff	gorge	binge	glut	overeat	pig out	scarf out
squeeze	wring	extort	gouge	rack
torture	torment	rack
torment	crucify	dun	frustrate	rag
wring from	extort
state	express	vote
stick	cleave	adhere	cling
stick	stick to	bind	adhere	bond	hold fast
stick	stand by	adhere	stick by
tie	attach	bind	bond
tie	marry	wed	splice
suck	suckle	nurse	breastfeed	give suck
suck	suck in
suck in	draw in
summon	marshal	mobilize
summon	page
summon	come up	muster	muster up	rally
work	page
work	busy	occupy
work	volunteer
work	minister
work	do work	farm
take in	collect	farm
watch	take in	catch	see	view	seen
watch	look on
watch	look out	watch out
watch	check	see	learn	find out	ascertain	determine	seen
work	do work	job
work	do work	man
work	act
summon	cite	demand	summons
tackle	harness
take	remove	withdraw	take away
take out	bus	take away
take out	ask out	invite out
take	take on	acquire	adopt	assume
take	bring	convey	tube
take	choose	select	panel	pick out
take	choose	select	field	pick out
take	choose	select	go	pick out	plump
take	choose	select	elect	pick out
take	choose	select	assign	pick out	set apart	specify
take	choose	select	nominate	pick out	propose
take	choose	select	pick out	vote
take	fill	occupy
take	look at	consider	deal
take	ask	call for	cost	demand	involve	necessitate	need	postulate	require
take	shoot	film
take	take in	ingest	consume	have
take in	ingest	absorb	assimilate
take	take on	accept	admit
take in	take up	suck in	sop up
take up	resume
take in	take up	imbibe	draw	suck	soak up	absorb	sop up	suck up
take on	take over	adopt	assume
take on	tackle	undertake
take over	relieve	spell
take over	bear	accept	assume
take over	buy out	buy up
take over	repeat
take up	take over	adopt	borrow
take over	absorb
take up	scoop	scoop up	lift out	scoop out
talk	lecture
talk	sing	babble	babble out	let the cat out of the bag	peach
talk	speak	utter	mouth
talk	spill
talk	speak	cheek
tell	recite	narrate	recount	relate
touch	touch on	affect	bear on	bear upon	impact	process	treat
touch	touch on	affect	bear on	bear upon	impact	subject
touch	touch on	come to	affect	bear on	concern	involve	pertain	refer	regard	relate
touch	touch on	come to	bear on	concern	interest	matter to	pertain	refer	relate
touch	meet	adjoin	contact
touch	reach	extend to
touch	match	equal	rival
touch	disturb
turn	call on
turn	twist	bend	deform	flex
twist	distort	twine
twist	wind	curve
twist	twist around	pervert	sophisticate
use	abuse	expend	misuse	pervert
use	apply	practice
wring	contort	deform	distort
wring	wrench
turn on	wind up	arouse	excite	sex
wind	wind up
wake	wake up	awake	awaken	arouse	waken	come alive
wake	ignite	heat	fire up	inflame	stir up
wake	wake up	awaken	rouse	arouse	waken
want	need	require	wanted
want	desire	wanted
want	desire	miss
want	desire	like
wink	blink	blink away
wink	flash	blink	twinkle
work	knead	proof
work	shape	forge	form	layer	mold
work	shape	forge	form	machine	mold
work	shape	forge	form	hill	mold
work	shape	forge	form	model	mold
write	drop a line
write	compose	instrument
write	compose	pen	profile
write	adopt	compose	dramatize	pen
write	compose	draft	outline	pen
write	cite	compose	pen	reference
write	publish
